kingdom,phylum,class,order,family,genus,species,iucn_redlist_id,iucn_redlist_category,common_name_en,common_name_fr,common_name_sp,country_distribution
Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,altasepta,133696,VU,,,,"[""BRN"",""FJI"",""IDN"",""JPN"",""KIR"",""MYS"",""MHL"",""NCL"",""PLW"",""PNG"",""PHL"",""SLB"",""TWN"",""THA"",""TLS"",""TUV"",""VUT""]"
Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,cactus,133113,VU,,,,"[""BRN"",""IDN"",""JPN"",""MYS"",""NCL"",""PNG"",""PHL"",""SLB"",""TWN"",""THA"",""TLS""]"
Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,cocosensis,133460,VU,,,,"[""BRN"",""CXR"",""CCK"",""EGY"",""IDN"",""JOR"",""MYS"",""NCL"",""NFK"",""PNG"",""PHL"",""SAU"",""SLB"",""SDN"",""THA"",""TLS"",""VUT""]"
Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,delicatula,133489,VU,,,,"[""BRN"",""IDN"",""MYS"",""PNG"",""PHL"",""SLB"",""THA"",""TLS"",""VNM""]"
Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,florida,133064,VU,,,,"[""BRN"",""IDN"",""MYS"",""PNG"",""PHL"",""THA"",""TLS""]"
Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,gaimardi,132930,VU,,,,"[""BRN"",""IDN"",""JPN"",""MYS"",""PLW"",""PHL"",""TWN"",""THA"",""TLS""]"
Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,hodgsoni,132892,VU,,,,"[""BRN"",""IDN"",""MYS"",""PNG"",""PHL"",""SLB"",""TLS"",""VNM""]"
Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,mactanensis,133434,VU,,,,"[""BRN"",""IDN"",""JPN"",""MYS"",""PNG"",""PHL"",""SLB"",""TWN"",""TLS""]"
Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,malampaya,133007,VU,,,,"[""BRN"",""IND"",""IDN"",""JPN"",""MYS"",""PNG"",""PHL"",""SLB"",""TWN"",""THA"",""TLS""]"
Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,samarensis,133404,VU,,,,"[""BRN"",""FJI"",""IDN"",""JPN"",""KIR"",""MYS"",""MHL"",""NCL"",""PLW"",""PNG"",""PHL"",""SLB"",""TWN"",""THA"",""TLS"",""TUV"",""VUT"",""VNM""]"
Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,vietnamensis,133190,VU,,,,"[""BRN"",""KHM"",""IDN"",""MYS"",""PNG"",""PHL"",""SLB"",""TWN"",""THA"",""TLS"",""VNM""]"
Animalia,Cnidaria,Anthozoa,Scleractinia,Pectiniidae,Mycedium,steeni,133335,VU,,,,"[""BRN"",""IDN"",""MYS"",""PHL"",""TLS""]"
Animalia,Cnidaria,Anthozoa,Scleractinia,Euphyllidae,Nemenzophyllia,turbida,133219,VU,,,,"[""BRN"",""IDN"",""MYS"",""PNG"",""PHL"",""SLB"",""THA"",""TLS""]"
Animalia,Cnidaria,Anthozoa,Scleractinia,Agariciidae,Pavona,danai,133261,VU,,,,"[""BRN"",""KHM"",""EGY"",""IDN"",""JPN"",""JOR"",""MYS"",""PHL"",""SAU"",""SDN"",""TWN"",""THA"",""TLS"",""VNM""]"
Animalia,Cnidaria,Anthozoa,Scleractinia,Faviidae,Platygyra,yaeyamaensis,133067,VU,,,,"[""BRN"",""KHM"",""HKG"",""IDN"",""JPN"",""MYS"",""MMR"",""PNG"",""PHL"",""SLB"",""TWN"",""THA"",""TLS"",""VNM""]"
Animalia,Cnidaria,Anthozoa,Scleractinia,Euphyllidae,Plerogyra,discus,132974,VU,,,,"[""BRN"",""IDN"",""MYS"",""PNG"",""PHL"",""SLB"",""THA"",""TLS""]"
Animalia,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Pocillopora,ankeli,133011,VU,,,,"[""BRN"",""ATF"",""IND"",""IDN"",""MDG"",""MYS"",""MMR"",""PLW"",""PHL"",""LKA"",""THA"",""TLS""]"
Animalia,Cnidaria,Anthozoa,Scleractinia,Poritidae,Porites,attenuata,133107,VU,,,,"[""BRN"",""FJI"",""IDN"",""JPN"",""KIR"",""MYS"",""MHL"",""NCL"",""PLW"",""PNG"",""PHL"",""SLB"",""TWN"",""THA"",""TLS"",""TUV"",""VUT""]"
Animalia,Cnidaria,Anthozoa,Scleractinia,Poritidae,Porites,cocosensis,133499,VU,,,,"[""BRN"",""CXR"",""CCK"",""IDN"",""MYS"",""PHL"",""TWN"",""THA"",""TLS""]"
Animalia,Cnidaria,Anthozoa,Scleractinia,Poritidae,Porites,cumulatus,133123,VU,,,,"[""BRN"",""KHM"",""IDN"",""MYS"",""PNG"",""PHL"",""SLB"",""TWN"",""THA"",""TLS"",""VNM""]"
Animalia,Cnidaria,Anthozoa,Scleractinia,Poritidae,Porites,napopora,133358,VU,,,,"[""BRN"",""KHM"",""GUM"",""IDN"",""JPN"",""MYS"",""MNP"",""PLW"",""PHL"",""TWN"",""THA"",""TLS"",""VNM""]"
Animalia,Cnidaria,Anthozoa,Scleractinia,Poritidae,Porites,rugosa,133568,VU,,,,"[""BRN"",""IDN"",""MYS"",""PNG"",""PHL"",""SLB"",""THA"",""TLS""]"
Animalia,Cnidaria,Anthozoa,Scleractinia,Poritidae,Porites,tuberculosa,133296,VU,,,,"[""BRN"",""IDN"",""MYS"",""PNG"",""PHL"",""SLB"",""THA"",""TLS""]"
Animalia,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Seriatopora,dendritica,133435,VU,,,,"[""BRN"",""IDN"",""MYS"",""MHL"",""PNG"",""PHL"",""SLB"",""THA"",""TLS""]"
Animalia,Cnidaria,Anthozoa,Scleractinia,Astrocoeniidae,Stylocoeniella,cocosensis,133145,VU,,,,"[""BRN"",""CXR"",""CCK"",""IDN"",""JPN"",""MYS"",""PNG"",""PHL"",""TWN"",""THA"",""TLS""]"
Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Carcharhinidae,Carcharhinus,borneensis,39367,EN,"Borneo Shark","Requin Tigre Houareau","Tiburón De Borneo","[""BRN"",""CHN"",""IDN"",""MYS"",""PHL"",""VNM""]"
Animalia,Chordata,Chondrichthyes,Myliobatiformes,Dasyatidae,Pastinachus,solocirostris,161465,EN,"Roughnose Stingray",,,"[""BRN"",""IDN"",""MYS""]"
Animalia,Chordata,Chondrichthyes,Rhinopristiformes,Glaucostegidae,Glaucostegus,thouin,60175,VU,"Clubnose Guitarfish",,,"[""BRN"",""KHM"",""EGY"",""IDN"",""JOR"",""MYS"",""PNG"",""PHL"",""SAU"",""SDN"",""THA"",""VNM""]"
Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Hemigaleidae,Hemigaleus,microstoma,41816,VU,"Sickelfin Weasel Shark","Milandre Faucille","Comadreja Segadora","[""BRN"",""KHM"",""CHN"",""EGY"",""HKG"",""IND"",""IDN"",""JPN"",""JOR"",""MYS"",""MMR"",""PHL"",""SAU"",""LKA"",""SDN"",""TWN"",""THA"",""VNM""]"
Animalia,Chordata,Chondrichthyes,Myliobatiformes,Dasyatidae,Maculabatis,pastinacoides,161540,VU,"Round Whipray",,,"[""BRN"",""IDN"",""MYS"",""PHL""]"
Animalia,Chordata,Chondrichthyes,Rajiformes,Rhinopteridae,Rhinoptera,javanica,60129,VU,"Cownose Ray","Mourine Javanaise",,"[""BRN"",""KHM"",""CHN"",""HKG"",""IND"",""IDN"",""JPN"",""MYS"",""MOZ"",""MMR"",""PAK"",""PHL"",""ZAF"",""LKA"",""TWN"",""THA"",""TLS"",""VNM""]"
Animalia,Chordata,Amphibia,Anura,Dicroglossidae,Limnonectes,paramacrodon,58363,NT,"Lesser Swamp Frog",,,"[""BRN"",""IDN"",""MYS"",""SGP""]"
